page,title,date,total,available,type,pay,percent,dates,days
213759,"[뛰기는 싫고, 그냥 좀 걸을까?] 남산둘레길 함께 걷기+자세교정까지❤️(5/3 일)",2020.5.3 (일) 09:00 ~ 11:00,10.0,0.0,교육,유료,1.0,2020-05-03,(일)
213760,(5월) 초보 창업자를 위한 무료 창업세미나 (특강),2020.5.6 (수) 19:00 ~ 2020.5.9 (토) 15:00,20.0,0.0,강연,무료,1.0,2020-05-06,(수)
213761,삼성 금융영업전문가과정 14기,2020.7.6 (월) 19:00 ~ 2020.7.17 (금) 19:30,50.0,0.0,교육,무료,1.0,2020-07-06,(월)
213762,"2020모금실무코칭1강. 코로나19 이후, 지금 당장 모금 단체들이 해야할 일들",2020.5.12 (화) 13:30 ~ 18:00,20.0,0.0,교육,유료,1.0,2020-05-12,(화)
213764,[현대미술연구소] 스튜디오 멤버를 모집합니다. (1년 입주 기간 / 유료 공간 사용),2020.5.12 (화) 21:00 ~ 2021.7.31 (토) 22:30,4.0,0.0,문화/예술,유료,1.0,2020-05-12,(화)
213765,"그것은 아주 맛있었다 9회 무제한 회,알콜 파티",2020.5.9 (토) 17:00 ~ 22:00,12.0,0.0,이벤트/파티,유료,1.0,2020-05-09,(토)
213766,2020년 4월 24일 오후 10:13 / 한형택님이 개설한 모임,2020.4.25 (토) 22:30 ~ 23:00,50.0,0.0,기타,무료,1.0,2020-04-25,(토)
213767,"2020년 상반기 대비 제약회사 ""취업 세미나""",2020.5.2 (토) 19:30 ~ 22:30,15.0,0.0,교육,유료,1.0,2020-05-02,(토)
213769,습관디자인 멘탈코칭,2020.4.27 (월) 00:30 ~ 23:30,1.0,0.0,교육,유료,1.0,2020-04-27,(월)
213771,의정부,2020.5.10 (일) 03:00 ~ 2020.6.30 (화) 03:30,100.0,0.0,소모임/친목행사,무료,1.0,2020-05-10,(일)
213772,[05/03]싱글 프리랜서(1인기업) 주거와 협업을 위한 주거공동체 탐방하기,2020.5.3 (일) 14:00 ~ 16:00,2.0,0.0,소모임/친목행사,무료,1.0,2020-05-03,(일)
213773,[05/10]싱글 프리랜서(1인기업) 주거와 협업을 위한 주거공동체 탐방하기,2020.5.10 (일) 14:00 ~ 16:00,2.0,0.0,소모임/친목행사,무료,1.0,2020-05-10,(일)
213774,"서울대 장학생으로 자녀를 합격시킨 아빠가 알려주는 생생한 SKY, 의치한 합격비법 세미나",2020.5.10 (일) 14:00 ~ 2020.6.30 (화) 19:00,10.0,0.0,세미나/컨퍼런스,무료,1.0,2020-05-10,(일)
